127.0.0.1 - - [13/Feb/2020:10:00:50 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [13/Feb/2020:10:00:51 +0530] "GET /JSTLexampless/functionFN.jsp HTTP/1.1" 500 2749
0:0:0:0:0:0:0:1 - - [13/Feb/2020:10:01:25 +0530] "GET /JSTLexampless/ HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [13/Feb/2020:10:01:31 +0530] "GET /JSTLexampless/functionFN.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [13/Feb/2020:10:01:46 +0530] "GET /JSTLexampless/functionFN.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [13/Feb/2020:10:01:47 +0530] "GET /JSTLexampless/functionFN.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [13/Feb/2020:10:01:48 +0530] "GET /JSTLexampless/functionFN.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [13/Feb/2020:10:01:49 +0530] "GET /JSTLexampless/functionFN.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [13/Feb/2020:10:01:50 +0530] "GET /JSTLexampless/functionFN.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [13/Feb/2020:10:01:59 +0530] "GET /JSTLexampless/functionFN.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [13/Feb/2020:10:42:43 +0530] "GET /JSTLexampless/functionFN.jsp HTTP/1.1" 500 2531
0:0:0:0:0:0:0:1 - - [13/Feb/2020:10:43:04 +0530] "GET /JSTLexampless/functionFN.jsp HTTP/1.1" 500 2531
0:0:0:0:0:0:0:1 - - [13/Feb/2020:10:43:52 +0530] "GET /JSTLexampless/functionFN.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [13/Feb/2020:10:48:25 +0530] "GET /JSTLexampless/functionFN.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [13/Feb/2020:10:49:33 +0530] "GET /JSTLexampless/functionFN.jsp HTTP/1.1" 500 4181
0:0:0:0:0:0:0:1 - - [13/Feb/2020:10:49:46 +0530] "GET /JSTLexampless/functionFN.jsp HTTP/1.1" 500 4181
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:46:27 +0530] "GET /JSTLexampless/insert.html HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:46:40 +0530] "GET /JSTLexampless/functionFN.jsp?name=shiavm&pwd=pundir HTTP/1.1" 500 4181
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:48:04 +0530] "GET /JSTLexampless/insert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:48:12 +0530] "GET /JSTLexampless/functionFN.jsp?name=shivam&pwd=pundir HTTP/1.1" 500 4181
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:48:32 +0530] "GET /JSTLexampless/functionFN.jsp?name=shuvam&pwd=asd HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:48:59 +0530] "GET /JSTLexampless/functionFN.jsp HTTP/1.1" 500 4181
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:50:49 +0530] "GET /JSTLexampless/insert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:51:07 +0530] "GET /JSTLexampless/functionFN.jsp?name=aravind&pwd=topper HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:51:24 +0530] "GET /JSTLexampless/functionFN.jsp?name=venakt&pwd=taknev HTTP/1.1" 500 4184
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:53:36 +0530] "GET /JSTLexampless/functionFN.jsp HTTP/1.1" 500 4076
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:53:46 +0530] "GET /JSTLexampless/insert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:53:57 +0530] "GET /JSTLexampless/functionFN.jsp?name=venkat&pwd=taknev HTTP/1.1" 200 900
